"id","parent_id:id","code","name"
"nace_8_9900000000000002","nace_8_9000000000000004","8.9900000000000002","Other mining and quarrying n.e.c."
"nace_9","nace_B","9","Mining support service activities"
"nace_9_0999999999999996","nace_9","9.0999999999999996","Support activities for petroleum and natural gas extraction"
"nace_9_0999999999999996","nace_9_0999999999999996","9.0999999999999996","Support activities for petroleum and natural gas extraction"
"nace_9_9000000000000004","nace_9","9.9000000000000004","Support activities for other mining and quarrying"
"nace_9_9000000000000004","nace_9_9000000000000004","9.9000000000000004","Support activities for other mining and quarrying"
"nace_C","nace_root","C","MANUFACTURING"
"nace_10","nace_C","10","Manufacture of food products"
"nace_10_1","nace_10","10.1","Processing and preserving of meat and production of meat products"
"nace_10_109999999999999","nace_10_1","10.109999999999999","Processing and preserving of meat"
"nace_10_119999999999999","nace_10_1","10.119999999999999","Processing and preserving of poultry meat"
"nace_10_130000000000001","nace_10_1","10.130000000000001","Production of meat and poultry meat products"
"nace_10_199999999999999","nace_10","10.199999999999999","Processing and preserving of fish, crustaceans and molluscs"
"nace_10_199999999999999","nace_10_199999999999999","10.199999999999999","Processing and preserving of fish, crustaceans and molluscs"
"nace_10_300000000000001","nace_10","10.300000000000001","Processing and preserving of fruit and vegetables"
"nace_10_31","nace_10_300000000000001","10.31","Processing and preserving of potatoes"
"nace_10_32","nace_10_300000000000001","10.32","Manufacture of fruit and vegetable juice"
"nace_10_390000000000001","nace_10_300000000000001","10.390000000000001","Other processing and preserving of fruit and vegetables"
"nace_10_4","nace_10","10.4","Manufacture of vegetable and animal oils and fats"
"nace_10_41","nace_10_4","10.41","Manufacture of oils and fats"
"nace_10_42","nace_10_4","10.42","Manufacture of margarine and similar edible fats"
"nace_10_5","nace_10","10.5","Manufacture of dairy products"
"nace_10_51","nace_10_5","10.51","Operation of dairies and cheese making"
"nace_10_52","nace_10_5","10.52","Manufacture of ice cream"
"nace_10_6","nace_10","10.6","Manufacture of grain mill products, starches and starch products"
